Cidade,Tipo de Cliente,Gênero,Linha de Produto,Preço Unitário,Quantidade,Imposto 5%,Total,Hora,Pagamento,Custo de Bens Vendidos,Percentual de Margem Bruta,Receita Bruta,Avaliação,Mês,Dia,Turno,Estação
Naypyitaw,Ocasional,Feminino,Comidas e Bebidas,43.18,8,17.272,362.712,19:39,Crédito,345.44,4.761904762,17.272,8.3,1,19,noite,Inverno
Yangon,Ocasional,Masculino,Viagens e Esportes,63.69,1,3.1845,66.8745,16:21,Dinheiro,63.69,4.761904762,3.1845,6.0,2,25,tarde,Inverno
Yangon,Ocasional,Masculino,Comidas e Bebidas,45.79,7,16.0265,336.5565,19:44,Crédito,320.53,4.761904762,16.0265,7.0,3,13,noite,Primavera
Naypyitaw,Ocasional,Masculino,Viagens e Esportes,76.4,2,7.64,160.44,19:42,Carteira Eletrônica,152.8,4.761904762,7.64,6.5,1,30,noite,Inverno
Mandalay,Ocasional,Masculino,Comidas e Bebidas,39.9,10,19.95,418.95,15:24,Crédito,399.0,4.761904762,19.95,5.9,2,20,tarde,Inverno
Mandalay,Recorrente,Masculino,Saúde e Beleza,42.57,8,17.028,357.588,14:12,Carteira Eletrônica,340.56,4.761904762,17.028,5.6,2,25,tarde,Inverno
Naypyitaw,Ocasional,Masculino,Casa e Estilo de Vida,95.58,10,47.79,1003.59,13:32,Dinheiro,955.8,4.761904762,47.79,4.8,1,16,tarde,Inverno
Yangon,Ocasional,Masculino,Acessórios de Moda,98.98,10,49.49,1039.29,16:20,Crédito,989.8,4.761904762,49.49,8.7,2,8,tarde,Inverno
Yangon,Ocasional,Masculino,Comidas e Bebidas,51.28,6,15.384,323.064,16:31,Dinheiro,307.68,4.761904762,15.384,6.5,1,19,tarde,Inverno
Yangon,Recorrente,Masculino,Viagens e Esportes,69.52,7,24.332,510.972,15:10,Crédito,486.64,4.761904762,24.332,8.5,2,1,tarde,Inverno
Yangon,Ocasional,Masculino,Saúde e Beleza,70.01,5,17.5025,367.5525,11:36,Carteira Eletrônica,350.05,4.761904762,17.5025,5.5,1,3,manhã,Inverno
Mandalay,Recorrente,Masculino,Comidas e Bebidas,80.05,5,20.0125,420.2625,12:45,Crédito,400.25,4.761904762,20.0125,9.4,1,26,tarde,Inverno
Naypyitaw,Ocasional,Masculino,Acessórios Eletrônicos,20.85,8,8.34,175.14,19:17,Dinheiro,166.8,4.761904762,8.34,6.3,3,3,noite,Primavera
Mandalay,Recorrente,Masculino,Acessórios Eletrônicos,52.89,6,15.867,333.207,17:34,Crédito,317.34,4.761904762,15.867,9.8,1,19,tarde,Inverno
Mandalay,Ocasional,Masculino,Comidas e Bebidas,19.79,8,7.916,166.236,12:04,Carteira Eletrônica,158.32,4.761904762,7.916,8.7,1,18,tarde,Inverno
Yangon,Recorrente,Masculino,Casa e Estilo de Vida,33.84,9,15.228,319.788,16:21,Carteira Eletrônica,304.56,4.761904762,15.228,8.8,3,21,tarde,Primavera
Yangon,Recorrente,Masculino,Comidas e Bebidas,22.17,8,8.868,186.228,17:01,Crédito,177.36,4.761904762,8.868,9.6,3,3,tarde,Primavera
Naypyitaw,Ocasional,Feminino,Acessórios de Moda,22.51,7,7.8785,165.4485,10:50,Crédito,157.57,4.761904762,7.8785,4.8,2,13,manhã,Inverno
Yangon,Ocasional,Masculino,Comidas e Bebidas,73.88,6,22.164,465.444,19:16,Carteira Eletrônica,443.28,4.761904762,22.164,4.4,3,23,noite,Primavera
Naypyitaw,Recorrente,Masculino,Saúde e Beleza,86.8,3,13.02,273.42,16:47,Carteira Eletrônica,260.4,4.761904762,13.02,9.9,1,28,tarde,Inverno
Naypyitaw,Ocasional,Masculino,Acessórios de Moda,64.26,7,22.491,472.311,10:00,Dinheiro,449.82,4.761904762,22.491,5.7,2,9,manhã,Inverno
Naypyitaw,Recorrente,Masculino,Comidas e Bebidas,38.47,8,15.388,323.148,11:51,Dinheiro,307.76,4.761904762,15.388,7.7,1,23,manhã,Inverno
Yangon,Recorrente,Masculino,Viagens e Esportes,15.5,10,7.75,162.75,10:55,Carteira Eletrônica,155.0,4.761904762,7.75,8.0,3,23,manhã,Primavera
Naypyitaw,Ocasional,Masculino,Saúde e Beleza,34.31,8,13.724,288.204,15:00,Carteira Eletrônica,274.48,4.761904762,13.724,5.7,1,25,tarde,Inverno
Yangon,Ocasional,Feminino,Viagens e Esportes,12.34,7,4.319,90.699,11:19,Crédito,86.38,4.761904762,4.319,6.7,3,4,manhã,Primavera
Mandalay,Recorrente,Masculino,Comidas e Bebidas,18.08,3,2.712,56.952,19:46,Carteira Eletrônica,54.24,4.761904762,2.712,8.0,3,5,noite,Primavera
Mandalay,Recorrente,Feminino,Casa e Estilo de Vida,94.49,8,37.796,793.716,19:00,Carteira Eletrônica,755.92,4.761904762,37.796,7.5,3,3,noite,Primavera
Mandalay,Recorrente,Masculino,Casa e Estilo de Vida,46.47,4,9.294,195.174,10:53,Dinheiro,185.88,4.761904762,9.294,7.0,2,8,manhã,Inverno
Yangon,Ocasional,Masculino,Casa e Estilo de Vida,74.07,1,3.7035,77.7735,12:50,Carteira Eletrônica,74.07,4.761904762,3.7035,9.9,2,10,tarde,Inverno
Naypyitaw,Ocasional,Feminino,Casa e Estilo de Vida,69.81,4,13.962,293.202,20:50,Crédito,279.24,4.761904762,13.962,5.9,1,28,noite,Inverno
Mandalay,Ocasional,Feminino,Casa e Estilo de Vida,77.04,3,11.556,242.676,10:39,Crédito,231.12,4.761904762,11.556,7.2,2,11,manhã,Inverno
Mandalay,Ocasional,Feminino,Acessórios de Moda,73.52,2,7.352,154.392,13:41,Carteira Eletrônica,147.04,4.761904762,7.352,4.6,1,15,tarde,Inverno
Naypyitaw,Ocasional,Feminino,Comidas e Bebidas,87.8,9,39.51,829.71,19:08,Dinheiro,790.2,4.761904762,39.51,9.2,3,16,noite,Primavera
Mandalay,Ocasional,Masculino,Casa e Estilo de Vida,25.55,4,5.11,107.31,20:23,Carteira Eletrônica,102.2,4.761904762,5.11,5.7,1,26,noite,Inverno
Yangon,Ocasional,Masculino,Acessórios Eletrônicos,32.71,5,8.1775,171.7275,11:30,Crédito,163.55,4.761904762,8.1775,9.9,3,19,manhã,Primavera
Naypyitaw,Recorrente,Feminino,Acessórios de Moda,74.29,1,3.7145,78.0045,19:30,Dinheiro,74.29,4.761904762,3.7145,5.0,1,13,noite,Inverno
Naypyitaw,Recorrente,Masculino,Saúde e Beleza,43.7,2,4.37,91.77,18:03,Dinheiro,87.4,4.761904762,4.37,4.9,3,26,noite,Primavera
Yangon,Ocasional,Feminino,Casa e Estilo de Vida,25.29,1,1.2645,26.5545,10:13,Carteira Eletrônica,25.29,4.761904762,1.2645,6.1,3,23,manhã,Primavera
Naypyitaw,Ocasional,Masculino,Saúde e Beleza,41.5,4,8.3,174.3,19:58,Crédito,166.0,4.761904762,8.3,8.2,3,12,noite,Primavera
Naypyitaw,Recorrente,Feminino,Comidas e Bebidas,71.39,5,17.8475,374.7975,19:57,Crédito,356.95,4.761904762,17.8475,5.5,2,17,noite,Inverno
Naypyitaw,Recorrente,Feminino,Viagens e Esportes,19.15,6,5.745,120.645,10:01,Crédito,114.9,4.761904762,5.745,6.8,1,29,manhã,Inverno
Mandalay,Recorrente,Feminino,Acessórios Eletrônicos,57.49,4,11.498,241.458,11:57,Dinheiro,229.96,4.761904762,11.498,6.6,3,15,manhã,Primavera
Naypyitaw,Ocasional,Masculino,Acessórios Eletrônicos,61.41,7,21.4935,451.3635,10:02,Dinheiro,429.87,4.761904762,21.4935,9.8,1,14,manhã,Inverno
Mandalay,Recorrente,Masculino,Saúde e Beleza,25.9,10,12.95,271.95,14:51,Carteira Eletrônica,259.0,4.761904762,12.95,8.7,2,6,tarde,Inverno
Mandalay,Recorrente,Masculino,Casa e Estilo de Vida,17.77,5,4.4425,93.2925,12:42,Crédito,88.85,4.761904762,4.4425,5.4,2,15,tarde,Inverno
Yangon,Ocasional,Feminino,Saúde e Beleza,23.03,9,10.3635,217.6335,12:02,Carteira Eletrônica,207.27,4.761904762,10.3635,7.9,1,3,tarde,Inverno
Naypyitaw,Recorrente,Feminino,Acessórios Eletrônicos,66.65,9,29.9925,629.8425,18:19,Crédito,599.85,4.761904762,29.9925,9.7,1,4,noite,Inverno
Naypyitaw,Recorrente,Feminino,Casa e Estilo de Vida,28.53,10,14.265,299.565,17:38,Carteira Eletrônica,285.3,4.761904762,14.265,7.8,3,18,tarde,Primavera
Mandalay,Ocasional,Feminino,Acessórios de Moda,30.37,3,4.5555,95.6655,13:41,Carteira Eletrônica,91.11,4.761904762,4.5555,5.1,3,28,tarde,Primavera
Mandalay,Ocasional,Feminino,Acessórios Eletrônicos,99.73,9,44.8785,942.4485,19:42,Crédito,897.57,4.761904762,44.8785,6.5,3,2,noite,Primavera
Yangon,Ocasional,Masculino,Acessórios Eletrônicos,26.23,9,11.8035,247.8735,20:24,Carteira Eletrônica,236.07,4.761904762,11.8035,5.9,1,25,noite,Inverno
Naypyitaw,Ocasional,Feminino,Comidas e Bebidas,93.26,9,41.967,881.307,18:08,Dinheiro,839.34,4.761904762,41.967,8.8,1,16,noite,Inverno
Mandalay,Ocasional,Masculino,Casa e Estilo de Vida,92.36,5,23.09,484.89,19:17,Carteira Eletrônica,461.8,4.761904762,23.09,4.9,3,20,noite,Primavera
Mandalay,Ocasional,Masculino,Viagens e Esportes,46.42,3,6.963,146.223,13:24,Crédito,139.26,4.761904762,6.963,4.4,1,4,tarde,Inverno
Mandalay,Recorrente,Feminino,Viagens e Esportes,29.61,7,10.3635,217.6335,15:53,Dinheiro,207.27,4.761904762,10.3635,6.5,3,11,tarde,Primavera
Yangon,Ocasional,Masculino,Casa e Estilo de Vida,18.28,1,0.914,19.194,15:05,Crédito,18.28,4.761904762,0.914,8.3,3,22,tarde,Primavera
Mandalay,Ocasional,Feminino,Viagens e Esportes,24.77,5,6.1925,130.0425,18:27,Dinheiro,123.85,4.761904762,6.1925,8.5,3,24,noite,Primavera
Yangon,Recorrente,Feminino,Acessórios Eletrônicos,94.64,3,14.196,298.116,16:55,Dinheiro,283.92,4.761904762,14.196,5.5,2,21,tarde,Inverno
Mandalay,Ocasional,Masculino,Acessórios de Moda,94.87,8,37.948,796.908,12:58,Carteira Eletrônica,758.96,4.761904762,37.948,8.7,2,12,tarde,Inverno
Mandalay,Ocasional,Feminino,Comidas e Bebidas,57.34,3,8.601,180.621,18:59,Crédito,172.02,4.761904762,8.601,7.9,3,10,noite,Primavera
Mandalay,Ocasional,Masculino,Acessórios Eletrônicos,45.35,6,13.605,285.705,13:44,Carteira Eletrônica,272.1,4.761904762,13.605,6.1,1,31,tarde,Inverno
Mandalay,Ocasional,Masculino,Comidas e Bebidas,62.08,7,21.728,456.288,13:46,Carteira Eletrônica,434.56,4.761904762,21.728,5.4,3,6,tarde,Primavera
Naypyitaw,Ocasional,Masculino,Acessórios Eletrônicos,11.81,5,2.9525,62.0025,18:06,Dinheiro,59.05,4.761904762,2.9525,9.4,2,17,noite,Inverno
Naypyitaw,Recorrente,Feminino,Acessórios de Moda,12.54,1,0.627,13.167,12:38,Dinheiro,12.54,4.761904762,0.627,8.2,2,21,tarde,Inverno
Yangon,Ocasional,Masculino,Comidas e Bebidas,43.25,2,4.325,90.825,15:56,Dinheiro,86.5,4.761904762,4.325,6.2,3,20,tarde,Primavera
Naypyitaw,Recorrente,Feminino,Viagens e Esportes,87.16,2,8.716,183.036,14:29,Crédito,174.32,4.761904762,8.716,9.7,1,11,tarde,Inverno
Mandalay,Recorrente,Masculino,Saúde e Beleza,69.37,9,31.2165,655.5465,19:14,Carteira Eletrônica,624.33,4.761904762,31.2165,4.0,1,26,noite,Inverno
Naypyitaw,Recorrente,Masculino,Acessórios Eletrônicos,37.06,4,7.412,155.652,16:24,Carteira Eletrônica,148.24,4.761904762,7.412,9.7,1,31,tarde,Inverno
Mandalay,Recorrente,Feminino,Acessórios Eletrônicos,90.7,6,27.21,571.41,10:52,Dinheiro,544.2,4.761904762,27.21,5.3,2,26,manhã,Inverno
Yangon,Ocasional,Feminino,Casa e Estilo de Vida,63.42,8,25.368,532.728,12:55,Carteira Eletrônica,507.36,4.761904762,25.368,7.4,3,11,tarde,Primavera
Mandalay,Ocasional,Feminino,Acessórios de Moda,81.37,2,8.137,170.877,19:28,Dinheiro,162.74,4.761904762,8.137,6.5,1,26,noite,Inverno
Mandalay,Recorrente,Feminino,Acessórios Eletrônicos,10.59,3,1.5885,33.3585,13:52,Crédito,31.77,4.761904762,1.5885,8.7,3,12,tarde,Primavera
Mandalay,Ocasional,Feminino,Saúde e Beleza,84.09,9,37.8405,794.6505,10:54,Dinheiro,756.81,4.761904762,37.8405,8.0,2,11,manhã,Inverno
Mandalay,Recorrente,Masculino,Acessórios de Moda,73.82,4,14.764,310.044,18:31,Dinheiro,295.28,4.761904762,14.764,6.7,2,21,noite,Inverno
Yangon,Recorrente,Masculino,Saúde e Beleza,51.94,10,25.97,545.37,18:24,Carteira Eletrônica,519.4,4.761904762,25.97,6.5,3,9,noite,Primavera
Yangon,Ocasional,Feminino,Viagens e Esportes,93.14,2,9.314,195.594,18:09,Carteira Eletrônica,186.28,4.761904762,9.314,4.1,1,20,noite,Inverno
Naypyitaw,Ocasional,Masculino,Saúde e Beleza,17.41,5,4.3525,91.4025,15:16,Crédito,87.05,4.761904762,4.3525,4.9,1,28,tarde,Inverno
Naypyitaw,Recorrente,Feminino,Acessórios de Moda,44.22,5,11.055,232.155,17:07,Crédito,221.1,4.761904762,11.055,8.6,3,5,tarde,Primavera
Mandalay,Recorrente,Feminino,Acessórios Eletrônicos,13.22,5,3.305,69.405,19:26,Dinheiro,66.1,4.761904762,3.305,4.3,3,2,noite,Primavera
Yangon,Ocasional,Masculino,Acessórios de Moda,89.69,1,4.4845,94.1745,11:20,Carteira Eletrônica,89.69,4.761904762,4.4845,4.9,1,11,manhã,Inverno
Yangon,Ocasional,Masculino,Comidas e Bebidas,24.94,9,11.223,235.683,16:49,Crédito,224.46,4.761904762,11.223,5.6,1,11,tarde,Inverno
Yangon,Ocasional,Masculino,Saúde e Beleza,59.77,2,5.977,125.517,12:01,Crédito,119.54,4.761904762,5.977,5.8,3,11,tarde,Primavera
Naypyitaw,Recorrente,Masculino,Acessórios de Moda,93.2,2,9.32,195.72,18:37,Crédito,186.4,4.761904762,9.32,6.0,2,28,noite,Inverno
Yangon,Recorrente,Masculino,Casa e Estilo de Vida,62.65,4,12.53,263.13,11:25,Dinheiro,250.6,4.761904762,12.53,4.2,1,5,manhã,Inverno
Mandalay,Ocasional,Masculino,Casa e Estilo de Vida,93.87,8,37.548,788.508,18:42,Crédito,750.96,4.761904762,37.548,8.3,2,2,noite,Inverno
Yangon,Recorrente,Masculino,Casa e Estilo de Vida,47.59,8,19.036,399.756,14:47,Dinheiro,380.72,4.761904762,19.036,5.7,1,1,tarde,Inverno
Mandalay,Recorrente,Feminino,Acessórios Eletrônicos,81.4,3,12.21,256.41,19:43,Dinheiro,244.2,4.761904762,12.21,4.8,2,9,noite,Inverno
Yangon,Recorrente,Masculino,Acessórios de Moda,17.94,5,4.485,94.185,14:04,Carteira Eletrônica,89.7,4.761904762,4.485,6.8,1,23,tarde,Inverno
Yangon,Recorrente,Masculino,Acessórios Eletrônicos,77.72,4,15.544,326.424,16:11,Crédito,310.88,4.761904762,15.544,8.8,1,7,tarde,Inverno
Mandalay,Ocasional,Masculino,Comidas e Bebidas,73.06,7,25.571,536.991,19:06,Crédito,511.42,4.761904762,25.571,4.2,1,14,noite,Inverno
Mandalay,Recorrente,Masculino,Comidas e Bebidas,46.55,9,20.9475,439.8975,15:34,Carteira Eletrônica,418.95,4.761904762,20.9475,6.4,2,2,tarde,Inverno
Naypyitaw,Recorrente,Masculino,Acessórios de Moda,35.19,10,17.595,369.495,19:06,Crédito,351.9,4.761904762,17.595,8.4,3,17,noite,Primavera
Naypyitaw,Ocasional,Feminino,Viagens e Esportes,14.39,2,1.439,30.219,19:44,Crédito,28.78,4.761904762,1.439,7.2,3,2,noite,Primavera
Yangon,Ocasional,Masculino,Casa e Estilo de Vida,23.75,4,4.75,99.75,11:22,Dinheiro,95.0,4.761904762,4.75,5.2,3,16,manhã,Primavera
Yangon,Recorrente,Masculino,Casa e Estilo de Vida,58.9,8,23.56,494.76,11:23,Dinheiro,471.2,4.761904762,23.56,8.9,1,6,manhã,Inverno
Mandalay,Recorrente,Masculino,Acessórios de Moda,32.62,4,6.524,137.004,14:12,Dinheiro,130.48,4.761904762,6.524,9.0,1,29,tarde,Inverno
Yangon,Recorrente,Masculino,Acessórios Eletrônicos,66.35,1,3.3175,69.6675,10:46,Crédito,66.35,4.761904762,3.3175,9.7,1,31,manhã,Inverno
Yangon,Recorrente,Masculino,Casa e Estilo de Vida,25.91,6,7.773,163.233,10:16,Carteira Eletrônica,155.46,4.761904762,7.773,8.7,2,5,manhã,Inverno
Yangon,Recorrente,Masculino,Acessórios Eletrônicos,32.25,4,6.45,135.45,12:38,Carteira Eletrônica,129.0,4.761904762,6.45,6.5,2,13,tarde,Inverno
Naypyitaw,Recorrente,Masculino,Acessórios Eletrônicos,65.94,4,13.188,276.948,13:05,Crédito,263.76,4.761904762,13.188,6.9,2,7,tarde,Inverno
Yangon,Ocasional,Feminino,Acessórios Eletrônicos,75.06,9,33.777,709.317,13:25,Carteira Eletrônica,675.54,4.761904762,33.777,6.2,3,19,tarde,Primavera
Naypyitaw,Ocasional,Feminino,Acessórios de Moda,16.45,4,3.29,69.09,14:53,Carteira Eletrônica,65.8,4.761904762,3.29,5.6,3,7,tarde,Primavera
Mandalay,Recorrente,Feminino,Acessórios de Moda,38.3,4,7.66,160.86,19:22,Dinheiro,153.2,4.761904762,7.66,5.7,3,13,noite,Primavera
Yangon,Recorrente,Feminino,Viagens e Esportes,22.24,10,11.12,233.52,11:00,Dinheiro,222.4,4.761904762,11.12,4.2,2,9,manhã,Inverno
Mandalay,Ocasional,Masculino,Viagens e Esportes,54.45,1,2.7225,57.1725,19:24,Carteira Eletrônica,54.45,4.761904762,2.7225,7.9,2,26,noite,Inverno
Yangon,Recorrente,Feminino,Viagens e Esportes,98.4,7,34.44,723.24,12:43,Crédito,688.8,4.761904762,34.44,8.7,3,12,tarde,Primavera
Naypyitaw,Ocasional,Masculino,Casa e Estilo de Vida,35.47,4,7.094,148.974,17:22,Crédito,141.88,4.761904762,7.094,6.9,3,14,tarde,Primavera
Mandalay,Recorrente,Feminino,Comidas e Bebidas,74.6,10,37.3,783.3,20:55,Dinheiro,746.0,4.761904762,37.3,9.5,1,8,noite,Inverno
Yangon,Recorrente,Masculino,Casa e Estilo de Vida,70.74,4,14.148,297.108,16:05,Crédito,282.96,4.761904762,14.148,4.4,1,5,tarde,Inverno
Yangon,Recorrente,Feminino,Casa e Estilo de Vida,35.54,10,17.77,373.17,13:34,Carteira Eletrônica,355.4,4.761904762,17.77,7.0,1,4,tarde,Inverno
Mandalay,Ocasional,Feminino,Viagens e Esportes,67.43,5,16.8575,354.0075,18:13,Carteira Eletrônica,337.15,4.761904762,16.8575,6.3,3,6,noite,Primavera
Naypyitaw,Recorrente,Feminino,Saúde e Beleza,21.12,2,2.112,44.352,19:17,Dinheiro,42.24,4.761904762,2.112,9.7,1,3,noite,Inverno
Yangon,Recorrente,Feminino,Casa e Estilo de Vida,21.54,9,9.693,203.553,11:44,Crédito,193.86,4.761904762,9.693,8.8,1,7,manhã,Inverno
Yangon,Ocasional,Feminino,Casa e Estilo de Vida,12.03,2,1.203,25.263,15:51,Dinheiro,24.06,4.761904762,1.203,5.1,1,27,tarde,Inverno
Mandalay,Ocasional,Feminino,Saúde e Beleza,99.71,6,29.913,628.173,16:52,Carteira Eletrônica,598.26,4.761904762,29.913,7.9,2,26,tarde,Inverno
Mandalay,Ocasional,Masculino,Acessórios de Moda,47.97,7,16.7895,352.5795,20:52,Dinheiro,335.79,4.761904762,16.7895,6.2,1,7,noite,Inverno
Naypyitaw,Recorrente,Feminino,Casa e Estilo de Vida,21.82,10,10.91,229.11,17:36,Dinheiro,218.2,4.761904762,10.91,7.1,1,7,tarde,Inverno
Naypyitaw,Ocasional,Feminino,Acessórios de Moda,95.42,4,19.084,400.764,13:23,Carteira Eletrônica,381.68,4.761904762,19.084,6.4,2,2,tarde,Inverno
Naypyitaw,Recorrente,Masculino,Acessórios de Moda,70.99,10,35.495,745.395,16:28,Dinheiro,709.9,4.761904762,35.495,5.7,3,20,tarde,Primavera
Yangon,Recorrente,Masculino,Viagens e Esportes,44.02,10,22.01,462.21,19:57,Crédito,440.2,4.761904762,22.01,9.6,3,20,noite,Primavera
Yangon,Ocasional,Feminino,Casa e Estilo de Vida,69.96,8,27.984,587.664,17:01,Crédito,559.68,4.761904762,27.984,6.4,2,15,tarde,Inverno
Naypyitaw,Ocasional,Masculino,Casa e Estilo de Vida,37.0,1,1.85,38.85,13:29,Crédito,37.0,4.761904762,1.85,7.9,3,6,tarde,Primavera
Yangon,Ocasional,Feminino,Viagens e Esportes,15.34,1,0.767,16.107,11:09,Dinheiro,15.34,4.761904762,0.767,6.5,1,6,manhã,Inverno
Yangon,Recorrente,Masculino,Saúde e Beleza,99.83,6,29.949,628.929,15:02,Carteira Eletrônica,598.98,4.761904762,29.949,8.5,3,4,tarde,Primavera
Yangon,Recorrente,Feminino,Saúde e Beleza,47.67,4,9.534,200.214,14:21,Dinheiro,190.68,4.761904762,9.534,9.1,3,12,tarde,Primavera
Mandalay,Ocasional,Masculino,Saúde e Beleza,66.68,5,16.67,350.07,18:01,Dinheiro,333.4,4.761904762,16.67,7.6,2,20,noite,Inverno
Naypyitaw,Recorrente,Masculino,Casa e Estilo de Vida,74.86,1,3.743,78.603,14:49,Dinheiro,74.86,4.761904762,3.743,6.9,3,24,tarde,Primavera
Naypyitaw,Ocasional,Feminino,Viagens e Esportes,23.75,9,10.6875,224.4375,12:02,Dinheiro,213.75,4.761904762,10.6875,9.5,1,31,tarde,Inverno
Mandalay,Ocasional,Feminino,Comidas e Bebidas,48.51,7,16.9785,356.5485,13:30,Crédito,339.57,4.761904762,16.9785,5.2,1,25,tarde,Inverno
Yangon,Recorrente,Feminino,Casa e Estilo de Vida,94.88,7,33.208,697.368,14:38,Dinheiro,664.16,4.761904762,33.208,4.2,2,3,tarde,Inverno
Mandalay,Recorrente,Masculino,Acessórios Eletrônicos,40.3,10,20.15,423.15,17:37,Crédito,403.0,4.761904762,20.15,7.0,1,24,tarde,Inverno
Naypyitaw,Ocasional,Masculino,Acessórios Eletrônicos,27.85,7,9.7475,204.6975,17:20,Carteira Eletrônica,194.95,4.761904762,9.7475,6.0,3,14,tarde,Primavera
Yangon,Recorrente,Feminino,Acessórios Eletrônicos,62.48,1,3.124,65.604,20:29,Dinheiro,62.48,4.761904762,3.124,4.7,2,18,noite,Inverno
Yangon,Recorrente,Feminino,Comidas e Bebidas,36.36,2,3.636,76.356,10:00,Dinheiro,72.72,4.761904762,3.636,7.1,1,21,manhã,Inverno
Mandalay,Ocasional,Masculino,Saúde e Beleza,18.11,10,9.055,190.155,11:46,Carteira Eletrônica,181.1,4.761904762,9.055,5.9,3,13,manhã,Primavera
Naypyitaw,Recorrente,Feminino,Acessórios Eletrônicos,51.92,5,12.98,272.58,13:42,Dinheiro,259.6,4.761904762,12.98,7.5,3,3,tarde,Primavera
Naypyitaw,Ocasional,Masculino,Acessórios Eletrônicos,28.84,4,5.768,121.128,14:44,Dinheiro,115.36,4.761904762,5.768,6.4,3,29,tarde,Primavera
Yangon,Recorrente,Masculino,Casa e Estilo de Vida,78.38,6,23.514,493.794,14:16,Carteira Eletrônica,470.28,4.761904762,23.514,5.8,1,10,tarde,Inverno
Yangon,Recorrente,Masculino,Casa e Estilo de Vida,60.01,4,12.002,252.042,15:54,Dinheiro,240.04,4.761904762,12.002,4.5,1,25,tarde,Inverno
Naypyitaw,Recorrente,Feminino,Casa e Estilo de Vida,88.61,1,4.4305,93.0405,10:21,Dinheiro,88.61,4.761904762,4.4305,7.7,1,19,manhã,Inverno
Naypyitaw,Ocasional,Masculino,Acessórios de Moda,99.82,2,9.982,209.622,18:09,Crédito,199.64,4.761904762,9.982,6.7,1,2,noite,Inverno
Mandalay,Recorrente,Masculino,Saúde e Beleza,39.01,1,1.9505,40.9605,16:46,Crédito,39.01,4.761904762,1.9505,4.7,3,12,tarde,Primavera
Naypyitaw,Ocasional,Masculino,Comidas e Bebidas,48.61,1,2.4305,51.0405,15:31,Dinheiro,48.61,4.761904762,2.4305,4.4,2,25,tarde,Inverno
Yangon,Ocasional,Feminino,Acessórios Eletrônicos,51.19,4,10.238,214.998,17:15,Crédito,204.76,4.761904762,10.238,4.7,3,18,tarde,Primavera
Mandalay,Ocasional,Feminino,Acessórios Eletrônicos,14.96,8,5.984,125.664,12:29,Dinheiro,119.68,4.761904762,5.984,8.6,2,23,tarde,Inverno
Yangon,Recorrente,Masculino,Acessórios Eletrônicos,72.2,7,25.27,530.67,20:14,Carteira Eletrônica,505.4,4.761904762,25.27,4.3,3,26,noite,Primavera
Yangon,Ocasional,Feminino,Viagens e Esportes,40.23,7,14.0805,295.6905,13:22,Dinheiro,281.61,4.761904762,14.0805,9.6,3,30,tarde,Primavera
Yangon,Recorrente,Feminino,Casa e Estilo de Vida,88.79,8,35.516,745.836,17:09,Dinheiro,710.32,4.761904762,35.516,4.1,2,17,tarde,Inverno
Yangon,Recorrente,Feminino,Acessórios Eletrônicos,26.48,3,3.972,83.412,10:40,Carteira Eletrônica,79.44,4.761904762,3.972,4.7,3,21,manhã,Primavera
Yangon,Ocasional,Feminino,Acessórios de Moda,81.91,2,8.191,172.011,17:43,Dinheiro,163.82,4.761904762,8.191,7.8,3,5,tarde,Primavera
Mandalay,Recorrente,Masculino,Viagens e Esportes,79.93,6,23.979,503.559,14:04,Dinheiro,479.58,4.761904762,23.979,5.5,1,31,tarde,Inverno
Naypyitaw,Recorrente,Masculino,Acessórios de Moda,69.33,2,6.933,145.593,19:05,Carteira Eletrônica,138.66,4.761904762,6.933,9.7,2,5,noite,Inverno
Yangon,Recorrente,Feminino,Comidas e Bebidas,14.23,5,3.5575,74.7075,10:08,Crédito,71.15,4.761904762,3.5575,4.4,2,1,manhã,Inverno
Yangon,Recorrente,Feminino,Saúde e Beleza,15.55,9,6.9975,146.9475,13:12,Dinheiro,139.95,4.761904762,6.9975,5.0,3,7,tarde,Primavera
Naypyitaw,Recorrente,Feminino,Acessórios Eletrônicos,78.13,10,39.065,820.365,20:51,Dinheiro,781.3,4.761904762,39.065,4.4,2,10,noite,Inverno
Naypyitaw,Recorrente,Masculino,Comidas e Bebidas,99.37,2,9.937,208.677,17:29,Dinheiro,198.74,4.761904762,9.937,5.2,2,14,tarde,Inverno
Naypyitaw,Recorrente,Feminino,Comidas e Bebidas,21.08,3,3.162,66.402,10:25,Dinheiro,63.24,4.761904762,3.162,7.3,2,9,manhã,Inverno
Naypyitaw,Recorrente,Masculino,Acessórios Eletrônicos,74.79,5,18.6975,392.6475,11:34,Dinheiro,373.95,4.761904762,18.6975,4.9,1,10,manhã,Inverno
Naypyitaw,Recorrente,Feminino,Saúde e Beleza,29.67,7,10.3845,218.0745,18:58,Crédito,207.69,4.761904762,10.3845,8.1,3,11,noite,Primavera
Naypyitaw,Recorrente,Masculino,Saúde e Beleza,44.07,4,8.814,185.094,16:28,Carteira Eletrônica,176.28,4.761904762,8.814,8.4,2,18,tarde,Inverno
Naypyitaw,Ocasional,Feminino,Comidas e Bebidas,22.93,9,10.3185,216.6885,20:26,Dinheiro,206.37,4.761904762,10.3185,5.5,2,26,noite,Inverno
